,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1697605965,-0.99902344,-0.013671875,-0.12792969,1.5,0.21875,0.40625
1,1697606005,-0.9921875,-0.028320312,-0.1171875,1.1875,0.59375,0.5
2,1697606045,-0.9863281,-0.033203125,-0.13476562,1.5,0.78125,0.625
3,1697606085,-0.9970703,-0.021484375,-0.13085938,1.625,0.875,0.28125
4,1697606125,-0.98828125,-0.0126953125,-0.13378906,1.6875,0.8125,0.21875
5,1697606165,-1.0048828,-0.026367188,-0.11621094,1.5,0.59375,0.5625
6,1697606205,-0.98828125,-0.0126953125,-0.12695312,-0.4375,-0.09375,0.34375
7,1697606245,-0.9951172,-0.021484375,-0.14453125,-0.03125,0.34375,0.5625
8,1697606285,-0.9941406,-0.013671875,-0.13476562,0.09375,1.1875,0.875
9,1697606325,-0.9980469,-0.029296875,-0.11621094,-0.375,0.65625,0.28125
10,1697606365,-0.9941406,-0.017578125,-0.13183594,-1.3125,0.03125,0.09375
11,1697606405,-1.0009766,-0.013671875,-0.13574219,-2.40625,-0.03125,-0.03125
12,1697606445,-0.9921875,-0.00390625,-0.13867188,-2.34375,0.09375,0.5
13,1697606485,-1.0,-0.01953125,-0.13574219,-2.21875,0.46875,0.40625
14,1697606525,-1.0068359,-0.0234375,-0.13574219,-0.8125,0.21875,0.09375
15,1697606565,-0.9970703,-0.03515625,-0.12402344,-0.375,-0.40625,-0.15625
16,1697606605,-0.99609375,-0.0146484375,-0.13378906,-0.9375,-0.34375,-0.34375
17,1697606645,-0.9902344,-0.0048828125,-0.13476562,-0.4375,-0.5625,-0.15625
18,1697606685,-0.98828125,-0.022460938,-0.125,-0.6875,-0.75,-0.34375
19,1697606725,-1.0048828,-0.0234375,-0.123046875,-0.875,-0.6875,-0.53125
20,1697606765,-0.9951172,-0.017578125,-0.13964844,-0.875,-0.8125,-0.46875
21,1697606805,-0.9980469,-0.024414062,-0.12890625,-0.375,-0.5,-0.34375
22,1697606845,-1.0,-0.021484375,-0.12402344,0.34375,-0.34375,-0.28125
23,1697606885,-0.99609375,-0.028320312,-0.12695312,0.90625,-0.5,-0.28125
24,1697606925,-1.0,-0.024414062,-0.1328125,1.25,-0.40625,-0.53125
25,1697606965,-0.99609375,-0.020507812,-0.123046875,2.0625,-0.15625,-0.59375
26,1697607005,-1.0009766,-0.017578125,-0.13085938,2.25,0.09375,-0.78125
27,1697607045,-1.0058594,-0.01953125,-0.115234375,2.59375,-0.40625,-0.90625
28,1697607085,-1.0,-0.0087890625,-0.13378906,2.40625,-1.0625,-0.84375
29,1697607125,-0.9902344,-0.0146484375,-0.12792969,1.6875,-0.6875,-0.65625
30,1697607165,-0.9951172,-0.020507812,-0.13476562,1.375,-0.28125,-0.40625
31,1697607205,-0.9970703,-0.020507812,-0.12597656,1.03125,-0.8125,-0.40625
32,1697607245,-0.99902344,-0.030273438,-0.115234375,0.09375,-0.8125,-0.78125
33,1697607285,-0.9980469,-0.021484375,-0.13183594,0.34375,-0.875,-0.9375
34,1697607325,-0.9941406,-0.036132812,-0.115234375,1.6875,-0.34375,-0.65625
35,1697607365,-0.9970703,-0.030273438,-0.12792969,2.125,-0.5,-0.9375
36,1697607405,-0.99609375,-0.024414062,-0.13085938,1.375,-0.6875,-1.0
37,1697607445,-0.9951172,-0.028320312,-0.11425781,2.125,-0.8125,-1.125
38,1697607485,-0.99902344,-0.034179688,-0.109375,2.53125,-0.8125,-1.125
