,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1697605965,-0.043945312,0.33496094,0.9482422,0.09375,0.03125,-0.4375
1,1697606005,-0.055664062,0.33984375,0.9580078,-0.34375,-0.5,-0.625
2,1697606045,-0.051757812,0.34179688,0.96191406,-0.21875,-0.28125,-0.5625
3,1697606085,-0.044921875,0.33496094,0.96875,-0.15625,0.15625,-0.3125
4,1697606125,-0.053710938,0.33984375,0.9638672,-0.59375,-0.03125,0.03125
5,1697606165,-0.049804688,0.33691406,0.95410156,0.03125,0.21875,0.0
6,1697606205,-0.05859375,0.3388672,0.9580078,0.25,0.03125,0.03125
7,1697606245,-0.044921875,0.3388672,0.9628906,0.21875,0.09375,-0.3125
8,1697606285,-0.052734375,0.33203125,0.9658203,0.21875,-0.28125,-0.1875
9,1697606325,-0.047851562,0.3330078,0.9580078,-0.03125,0.09375,-0.125
10,1697606365,-0.043945312,0.3330078,0.9550781,0.03125,0.15625,-0.0625
11,1697606405,-0.05078125,0.33984375,0.95703125,0.03125,0.03125,-0.125
12,1697606445,-0.043945312,0.33203125,0.9560547,-0.28125,0.09375,-0.125
13,1697606485,-0.053710938,0.33984375,0.9550781,0.3125,-0.21875,-0.375
14,1697606525,-0.0546875,0.33691406,0.9628906,-0.28125,0.09375,-0.25
15,1697606565,-0.044921875,0.33496094,0.9609375,-0.03125,0.09375,-0.0625
16,1697606605,-0.049804688,0.3388672,0.9609375,0.03125,0.09375,0.03125
17,1697606645,-0.044921875,0.32617188,0.96484375,0.03125,-0.09375,0.03125
18,1697606685,-0.044921875,0.33691406,0.9560547,0.09375,-0.03125,-0.0625
19,1697606725,-0.056640625,0.3330078,0.96484375,0.3125,0.09375,-0.0625
20,1697606765,-0.047851562,0.33691406,0.96777344,0.5,-0.28125,-0.125
21,1697606805,-0.044921875,0.3330078,0.9345703,0.3125,-0.09375,-0.1875
22,1697606845,-0.045898438,0.33203125,0.9667969,0.03125,0.09375,-0.25
23,1697606885,-0.0546875,0.32617188,0.9560547,-0.09375,-0.21875,-0.25
24,1697606925,-0.040039062,0.34277344,0.96875,0.03125,-0.09375,-0.0625
25,1697606965,-0.049804688,0.3408203,0.9550781,0.03125,0.15625,-0.25
26,1697607005,-0.055664062,0.33984375,0.96777344,0.15625,-0.03125,-0.25
27,1697607045,-0.05078125,0.34277344,0.9511719,0.3125,0.09375,-0.25
28,1697607085,-0.0546875,0.33789062,0.9609375,-0.21875,-0.03125,-0.3125
29,1697607125,-0.043945312,0.33691406,0.96191406,-0.09375,-0.21875,-0.3125
30,1697607165,-0.047851562,0.33789062,0.9638672,0.03125,0.09375,-0.375
31,1697607205,-0.044921875,0.3408203,0.9628906,-0.15625,0.21875,-0.0625
32,1697607245,-0.046875,0.34472656,0.96777344,-0.03125,-0.03125,-0.125
33,1697607285,-0.049804688,0.32910156,0.9589844,0.5,-0.09375,-0.375
34,1697607325,-0.056640625,0.34375,0.9628906,0.375,0.03125,-0.25
35,1697607365,-0.048828125,0.328125,0.9638672,-0.15625,0.15625,0.46875
36,1697607405,-0.052734375,0.33789062,0.9501953,0.25,0.03125,0.09375
37,1697607445,-0.043945312,0.3466797,0.9716797,0.75,-0.28125,-0.0625
38,1697607485,-0.045898438,0.3310547,0.9589844,0.15625,-0.03125,0.0
39,1697607525,-0.05078125,0.33496094,0.9560547,0.625,0.09375,-0.25
40,1697607565,-0.053710938,0.34570312,0.9609375,0.25,-0.5,-0.25
41,1697607605,-0.055664062,0.34179688,0.9707031,-0.03125,-0.15625,-0.0625
42,1697607645,-0.046875,0.3486328,0.9560547,-0.15625,0.21875,-0.25
43,1697607685,-0.043945312,0.3388672,0.96777344,-0.09375,-0.21875,-0.25
44,1697607725,-0.052734375,0.32714844,0.96972656,-0.03125,-0.09375,-0.0625
45,1697607765,-0.041015625,0.3330078,0.9609375,-0.34375,0.21875,-0.25
46,1697607805,-0.045898438,0.33496094,0.9589844,-0.03125,-0.15625,-0.25
47,1697607845,-0.05078125,0.3330078,0.9667969,0.75,-0.03125,-0.25
48,1697607885,-0.05078125,0.3330078,0.9472656,0.25,0.03125,-0.1875
49,1697607925,-0.051757812,0.32714844,0.9580078,0.6875,0.03125,-0.0625
50,1697607965,-0.060546875,0.3388672,0.9736328,0.75,0.09375,0.09375
51,1697608005,-0.049804688,0.34375,0.97265625,0.5625,-0.09375,-0.25
52,1697608045,-0.056640625,0.33789062,0.9511719,1.0,-0.21875,-0.5
53,1697608085,-0.056640625,0.34179688,0.95410156,0.375,-0.03125,0.03125
54,1697608125,-0.047851562,0.33398438,0.9707031,0.375,0.53125,0.34375
55,1697608165,-0.05078125,0.34472656,0.95996094,0.375,-0.4375,0.34375
56,1697608205,-0.040039062,0.34472656,0.9560547,0.15625,0.15625,-0.125
57,1697608245,-0.048828125,0.3388672,0.9609375,-0.28125,-0.21875,-0.375
58,1697608285,-0.052734375,0.34179688,0.9707031,0.15625,-0.5625,-0.6875
59,1697608325,-0.049804688,0.3388672,0.9628906,-0.15625,-0.09375,-0.4375
60,1697608365,-0.04296875,0.33984375,0.9501953,-0.40625,0.03125,-0.3125
61,1697608405,-0.049804688,0.33789062,0.9628906,-0.53125,0.03125,-0.125
62,1697608445,-0.056640625,0.32714844,0.9550781,-0.34375,-0.21875,-0.3125
63,1697608485,-0.044921875,0.33398438,0.95410156,-0.34375,-0.03125,-0.3125
64,1697608525,-0.041015625,0.328125,0.9716797,-0.21875,0.21875,-0.4375
65,1697608565,-0.043945312,0.33496094,0.9638672,0.09375,0.21875,-0.25
66,1697608605,-0.046875,0.33691406,0.96972656,-0.03125,-0.03125,-0.3125
67,1697608645,-0.041015625,0.33398438,0.9580078,0.25,-0.28125,-0.5
68,1697608685,-0.0546875,0.3310547,0.95703125,0.625,0.15625,-0.375
69,1697608725,-0.045898438,0.34179688,0.97753906,-0.03125,-0.09375,-0.25
70,1697608765,-0.036132812,0.33984375,0.9589844,0.09375,-0.15625,-0.3125
71,1697608805,-0.052734375,0.33496094,0.9580078,-0.40625,0.09375,-0.25
72,1697608845,-0.051757812,0.3330078,0.96972656,-0.78125,0.03125,-0.25
73,1697608885,-0.046875,0.33398438,0.97558594,0.15625,-0.34375,-0.1875
74,1697608925,-0.052734375,0.32910156,0.9580078,0.375,-0.15625,0.0
75,1697608965,-0.05078125,0.33398438,0.9638672,0.15625,0.03125,-0.25
76,1697609005,-0.047851562,0.34472656,0.9501953,0.5625,-0.125,-0.09375
77,1697609045,-0.052734375,0.33691406,0.9638672,-0.125,-0.375,-0.15625
78,1697609085,-0.051757812,0.3359375,0.96777344,-0.375,-0.3125,-0.21875
79,1697609125,-0.0546875,0.33203125,0.9550781,-0.84375,0.0,-0.15625
80,1697609165,-0.047851562,0.33398438,0.9638672,-0.375,-0.0625,0.03125
81,1697609205,-0.0546875,0.3330078,0.9785156,0.625,0.0,0.3125
82,1697609245,-0.045898438,0.3310547,0.9746094,0.0,0.3125,0.03125
83,1697609285,-0.047851562,0.3310547,0.9667969,0.625,0.0,-0.09375
84,1697609325,-0.0390625,0.33203125,0.9482422,0.5,-0.125,0.09375
85,1697609365,-0.046875,0.3359375,0.9658203,0.1875,0.125,-0.15625
86,1697609405,-0.038085938,0.3408203,0.96875,-0.3125,-0.0625,0.03125
87,1697609445,-0.046875,0.33007812,0.9550781,-0.0625,0.125,0.15625
88,1697609485,-0.044921875,0.32910156,0.953125,0.0625,0.125,0.03125
89,1697609525,-0.053710938,0.33984375,0.9589844,-0.125,0.0,0.03125
90,1697609565,-0.043945312,0.33789062,0.96191406,-0.125,0.65625,0.3125
91,1697609605,-0.046875,0.3251953,0.96484375,-0.3125,0.0625,0.25
92,1697609645,-0.037109375,0.3310547,0.9580078,0.3125,0.125,0.21875
93,1697609685,-0.047851562,0.33691406,0.9589844,0.75,-0.125,-0.09375
94,1697609725,-0.047851562,0.33496094,0.9716797,0.375,0.1875,-0.09375
95,1697609765,-0.047851562,0.33789062,0.9482422,0.1875,0.0,0.09375
96,1697609805,-0.046875,0.33789062,0.9423828,0.4375,-0.3125,0.03125
97,1697609845,-0.0546875,0.34375,0.96191406,0.0,0.5,0.09375
98,1697609885,-0.053710938,0.33496094,0.96777344,-0.1875,0.1875,0.09375
99,1697609925,-0.041992188,0.3330078,0.9580078,-0.125,-0.0625,0.15625
100,1697609965,-0.046875,0.32910156,0.9580078,-0.25,0.0,-0.21875
101,1697610005,-0.055664062,0.32617188,0.96875,0.0625,0.375,-0.15625
102,1697610045,-0.049804688,0.34179688,0.9638672,-0.1875,-0.125,-0.03125
103,1697610085,-0.051757812,0.33984375,0.9609375,-0.375,-0.3125,-0.09375
104,1697610125,-0.048828125,0.3359375,0.9589844,-0.4375,-0.1875,-0.09375
105,1697610165,-0.043945312,0.3310547,0.95214844,-0.1875,0.125,-0.21875
106,1697610205,-0.060546875,0.33984375,0.9501953,-0.3125,0.0625,0.15625
107,1697610245,-0.041992188,0.3388672,0.9658203,-0.125,-0.25,-0.21875
108,1697610285,-0.052734375,0.33691406,0.96972656,-0.25,0.0,0.15625
109,1697610325,-0.052734375,0.32128906,0.96777344,-0.0625,0.5625,0.8125
110,1697610365,-0.0546875,0.3232422,0.96484375,0.5,-0.0625,0.5
111,1697610405,-0.043945312,0.3251953,0.9628906,1.40625,-0.3125,0.25
112,1697610445,-0.049804688,0.3408203,0.96875,0.90625,-0.1875,-0.03125
113,1697610485,-0.047851562,0.33496094,0.9560547,1.09375,-0.5,-0.40625
114,1697610525,-0.043945312,0.3515625,0.9550781,1.03125,-0.71875,-0.34375
115,1697610565,-0.049804688,0.35253906,0.95703125,0.5,-0.375,-0.15625
116,1697610605,-0.046875,0.34472656,0.9550781,-0.5,0.3125,0.21875
117,1697610645,-0.05078125,0.3310547,0.96875,-0.3125,0.3125,0.5625
118,1697610685,-0.053710938,0.33691406,0.9609375,-0.25,0.25,0.3125
