,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1697605965,0.2919922,-0.3876953,0.796875,4.75,6.25,0.625
1,1697606005,0.29882812,-0.35839844,0.8642578,10.34375,5.34375,-0.71875
2,1697606045,0.2861328,-0.37597656,0.8671875,7.625,9.71875,-3.65625
3,1697606085,0.28320312,-0.38867188,0.8691406,9.125,11.1875,-6.65625
4,1697606125,0.34570312,-0.31152344,0.8486328,21.34375,8.09375,-0.25
5,1697606165,0.44628906,-0.36035156,0.7607422,49.46875,4.40625,14.40625
6,1697606205,0.35546875,-0.35839844,1.0341797,12.5,22.1875,29.96875
7,1697606245,0.3779297,-0.32714844,0.8613281,31.71875,34.6875,28.09375
8,1697606285,0.21679688,-0.23046875,0.9707031,31.28125,33.15625,34.375
9,1697606325,0.13964844,-0.37695312,0.9453125,8.59375,35.3125,12.46875
10,1697606365,0.125,-0.2998047,0.8964844,-22.84375,47.21875,-5.5
11,1697606405,-0.0068359375,-0.41308594,0.9658203,-41.875,56.1875,-13.84375
12,1697606445,-0.125,-0.39257812,1.0224609,-42.125,64.65625,-13.4375
13,1697606485,-0.12988281,-0.37597656,1.0576172,-31.34375,72.0,2.15625
14,1697606525,-0.15332031,-0.421875,0.953125,-35.1875,74.78125,11.0
15,1697606565,-0.20410156,-0.43945312,0.96191406,-24.0625,76.625,13.625
16,1697606605,-0.17089844,-0.4091797,0.8857422,-15.15625,78.21875,18.875
17,1697606645,-0.23632812,-0.43554688,0.9091797,-24.25,80.78125,19.28125
18,1697606685,-0.28320312,-0.51660156,0.85058594,-30.21875,81.5,24.59375
19,1697606725,-0.35253906,-0.3828125,0.7998047,-22.84375,86.28125,29.0
20,1697606765,-0.40820312,-0.38671875,0.8046875,-17.53125,81.03125,37.96875
21,1697606805,-0.40039062,-0.3798828,0.7675781,-30.03125,79.0625,37.34375
22,1697606845,-0.4794922,-0.42089844,0.7138672,-31.625,73.875,47.4375
23,1697606885,-0.5654297,-0.50683594,0.6064453,-34.5625,78.9375,44.125
24,1697606925,-0.62597656,-0.45507812,0.56347656,-26.25,84.125,44.625
25,1697606965,-0.65625,-0.44335938,0.5029297,-18.75,89.6875,48.03125
26,1697607005,-0.70214844,-0.43164062,0.4345703,-12.15625,92.5,44.9375
27,1697607045,-0.7060547,-0.3828125,0.4375,-2.9375,89.1875,48.28125
28,1697607085,-0.7314453,-0.32910156,0.35058594,-7.15625,80.15625,48.15625
29,1697607125,-0.74609375,-0.2939453,0.29492188,-0.9375,84.0625,52.4375
30,1697607165,-0.83203125,-0.25976562,0.24609375,13.03125,74.4375,53.71875
31,1697607205,-0.75,-0.20898438,0.17089844,-1.125,69.375,44.25
32,1697607245,-0.8046875,-0.26367188,0.18652344,-18.9375,75.59375,39.0
33,1697607285,-0.76171875,-0.31835938,0.087890625,-8.75,59.15625,33.15625
34,1697607325,-0.8935547,-0.32226562,0.043945312,0.46875,64.90625,26.375
35,1697607365,-0.84375,-0.16308594,0.06738281,9.5625,51.0,10.1875
36,1697607405,-0.9482422,0.013671875,0.13671875,17.25,37.5,12.21875
37,1697607445,-0.8876953,-0.19726562,0.13183594,-0.1875,20.34375,20.4375
38,1697607485,-0.9580078,-0.31445312,0.048828125,1.4375,23.84375,7.28125
39,1697607525,-0.9892578,-0.09375,-0.15429688,2.3125,-17.75,-8.78125
40,1697607565,-0.9580078,-0.08300781,-0.14160156,8.53125,-22.6875,-11.09375
41,1697607605,-0.96972656,-0.09667969,-0.16015625,9.625,-29.46875,-15.625
42,1697607645,-0.89941406,-0.03515625,-0.109375,8.46875,-33.53125,-21.46875
43,1697607685,-0.8701172,-0.0009765625,-0.00390625,9.5625,-48.6875,-20.3125
44,1697607725,-0.86328125,-0.111328125,0.022460938,-11.84375,-58.25,-17.5625
45,1697607765,-0.9589844,-0.16699219,0.18554688,-29.8125,-68.6875,-17.8125
46,1697607805,-0.93066406,-0.30566406,0.06933594,-17.21875,-60.9375,-20.375
47,1697607845,-0.8701172,-0.31445312,0.21582031,18.84375,-106.0625,-30.5
