,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1697605965,-0.4892578,-0.35351562,0.79589844,-0.09375,-0.03125,0.03125
1,1697606005,-0.4873047,-0.3623047,0.7939453,-0.15625,-0.03125,0.03125
2,1697606045,-0.48242188,-0.35253906,0.79589844,0.0,0.03125,-0.09375
3,1697606085,-0.48632812,-0.3515625,0.78808594,0.0625,-0.09375,0.03125
4,1697606125,-0.48339844,-0.34472656,0.7792969,-0.0625,0.03125,0.09375
5,1697606165,-0.48339844,-0.3486328,0.79003906,-0.0625,-0.15625,-0.03125
6,1697606205,-0.4892578,-0.35058594,0.7919922,-0.15625,-0.09375,0.15625
7,1697606245,-0.48242188,-0.35253906,0.7871094,-0.34375,-0.03125,-0.03125
8,1697606285,-0.47460938,-0.34765625,0.8027344,-0.0625,0.15625,0.03125
9,1697606325,-0.48828125,-0.34765625,0.8017578,-0.09375,0.03125,0.09375
10,1697606365,-0.484375,-0.34277344,0.7861328,-0.15625,-0.15625,0.15625
11,1697606405,-0.49316406,-0.35351562,0.7792969,-0.0625,0.03125,0.03125
12,1697606445,-0.4921875,-0.35351562,0.78808594,0.0625,0.09375,0.03125
13,1697606485,-0.48339844,-0.35253906,0.7890625,-0.15625,-0.03125,0.09375
14,1697606525,-0.4794922,-0.35546875,0.8027344,-0.09375,-0.03125,0.21875
15,1697606565,-0.48632812,-0.3544922,0.78515625,-0.15625,-0.09375,0.09375
16,1697606605,-0.48632812,-0.35839844,0.79296875,-0.09375,-0.15625,0.09375
17,1697606645,-0.484375,-0.34960938,0.79296875,-0.09375,-0.15625,0.09375
18,1697606685,-0.48046875,-0.3544922,0.78222656,-0.0625,-0.21875,-0.09375
19,1697606725,-0.484375,-0.3515625,0.7919922,-0.09375,-0.09375,0.03125
20,1697606765,-0.48632812,-0.35546875,0.7890625,-0.09375,-0.21875,0.03125
21,1697606805,-0.48242188,-0.35351562,0.7832031,-0.0625,-0.03125,0.15625
22,1697606845,-0.4814453,-0.34375,0.78222656,-0.15625,-0.15625,0.03125
23,1697606885,-0.47753906,-0.34960938,0.7890625,-0.09375,-0.03125,0.09375
24,1697606925,-0.47460938,-0.359375,0.7890625,-0.15625,-0.09375,0.15625
25,1697606965,-0.4892578,-0.34765625,0.7890625,-0.21875,-0.15625,0.28125
26,1697607005,-0.48046875,-0.35351562,0.79296875,-0.09375,-0.15625,0.34375
27,1697607045,-0.484375,-0.359375,0.7841797,-0.21875,-0.03125,0.34375
28,1697607085,-0.4814453,-0.3486328,0.78125,-0.28125,-0.09375,0.28125
29,1697607125,-0.48046875,-0.35253906,0.78808594,-0.21875,-0.09375,0.21875
30,1697607165,-0.4892578,-0.3564453,0.77441406,-0.28125,0.15625,0.34375
31,1697607205,-0.47851562,-0.34960938,0.7890625,-0.21875,-0.28125,0.53125
32,1697607245,-0.48632812,-0.3466797,0.78125,-0.09375,-0.15625,0.21875
33,1697607285,-0.48632812,-0.3564453,0.78808594,-0.15625,-0.03125,0.40625
34,1697607325,-0.49414062,-0.35058594,0.7998047,-0.34375,-0.03125,0.40625
35,1697607365,-0.48339844,-0.35058594,0.7890625,-0.15625,0.09375,0.40625
36,1697607405,-0.49023438,-0.3544922,0.7783203,-0.09375,-0.03125,0.53125
37,1697607445,-0.48339844,-0.3486328,0.79296875,-0.09375,-0.03125,0.46875
38,1697607485,-0.48632812,-0.35058594,0.7792969,-0.15625,-0.15625,0.53125
39,1697607525,-0.47851562,-0.35058594,0.7949219,-0.09375,-0.03125,0.34375
40,1697607565,-0.48242188,-0.34765625,0.79296875,-0.15625,0.03125,0.28125
41,1697607605,-0.48242188,-0.3466797,0.7841797,-0.21875,-0.09375,0.40625
42,1697607645,-0.4814453,-0.36035156,0.78515625,-0.15625,-0.09375,0.40625
43,1697607685,-0.47851562,-0.3515625,0.7841797,-0.15625,-0.21875,0.40625
44,1697607725,-0.49121094,-0.35058594,0.78515625,-0.28125,-0.03125,0.28125
45,1697607765,-0.4794922,-0.3564453,0.78808594,-0.15625,0.03125,0.40625
46,1697607805,-0.4814453,-0.35351562,0.78222656,-0.09375,-0.15625,0.21875
47,1697607845,-0.4873047,-0.3544922,0.8027344,-0.0625,0.09375,0.40625
48,1697607885,-0.484375,-0.3466797,0.7763672,-0.40625,-0.28125,0.59375
49,1697607925,-0.48242188,-0.35546875,0.7890625,-0.0625,0.28125,0.28125
50,1697607965,-0.47851562,-0.34472656,0.7890625,-0.21875,-0.03125,0.28125
51,1697608005,-0.5029297,-0.35058594,0.7949219,-0.0625,0.03125,0.34375
52,1697608045,-0.4814453,-0.34472656,0.7832031,-0.21875,-0.15625,0.28125
53,1697608085,-0.47460938,-0.34960938,0.7910156,-0.15625,-0.09375,0.15625
54,1697608125,-0.47851562,-0.35742188,0.78222656,-0.15625,-0.09375,0.28125
55,1697608165,-0.48046875,-0.3515625,0.77246094,-0.15625,-0.09375,0.46875
56,1697608205,-0.4873047,-0.35546875,0.7763672,-0.09375,-0.03125,0.15625
57,1697608245,-0.48339844,-0.35253906,0.77441406,-0.0625,0.15625,0.03125
58,1697608285,-0.48632812,-0.3466797,0.7685547,0.0625,-0.03125,0.09375
59,1697608325,-0.484375,-0.35351562,0.7841797,0.0625,0.09375,-0.03125
60,1697608365,-0.4873047,-0.3515625,0.7998047,-0.09375,-0.09375,0.03125
61,1697608405,-0.4873047,-0.34179688,0.7871094,0.0,-0.09375,-0.09375
62,1697608445,-0.4794922,-0.35351562,0.78808594,-0.09375,-0.03125,-0.03125
63,1697608485,-0.48632812,-0.3515625,0.7919922,0.0,0.03125,0.03125
64,1697608525,-0.48535156,-0.3466797,0.7763672,-0.0625,0.03125,0.09375
65,1697608565,-0.48828125,-0.35839844,0.79785156,-0.09375,-0.09375,0.09375
66,1697608605,-0.4814453,-0.34375,0.78808594,-0.09375,-0.34375,-0.15625
67,1697608645,-0.48632812,-0.35351562,0.7890625,-0.0625,0.15625,0.03125
68,1697608685,-0.4814453,-0.35351562,0.78808594,-0.34375,-0.34375,0.03125
69,1697608725,-0.4794922,-0.34765625,0.78125,-0.0625,0.15625,-0.03125
70,1697608765,-0.47851562,-0.3466797,0.7832031,-0.21875,-0.03125,-0.03125
